,title,release_date,poster,allocine_id,genre
65,Il a plu sur le grand paysage,2014-05-14,http://fr.web.img4.acsta.net/pictures/14/01/29/16/08/047773.jpg,226817,Documentaire
66,Les Nuits d'été,2015-01-28,http://fr.web.img3.acsta.net/pictures/14/11/26/12/25/378268.jpg,227841,Drame
68,Sarah,1983-04-27,http://fr.web.img3.acsta.net/medias/nmedia/18/78/81/67/19480203.jpg,32001,Comédie dramatique
70,Kyss Mig - Une histoire suédoise,2012-08-29,http://fr.web.img3.acsta.net/medias/nmedia/18/91/89/24/20181724.jpg,105473,Drame
72,Jimmy Rivière,2011-03-09,http://fr.web.img5.acsta.net/medias/nmedia/18/83/04/88/19668977.jpg,173825,Drame
74,Les Vieux sont nerveux,2009-01-14,http://fr.web.img6.acsta.net/medias/nmedia/18/67/48/09/18983202.jpg,110593,Comédie
75,La Vie moderne,2008-10-29,http://fr.web.img1.acsta.net/medias/nmedia/18/65/78/32/18950479.jpg,111105,Documentaire
76,L'Heure d'été,2008-03-05,http://fr.web.img4.acsta.net/medias/nmedia/18/65/13/32/18898050.jpg,111361,Drame
77,Balada Triste,2011-06-22,http://fr.web.img1.acsta.net/medias/nmedia/18/84/54/82/19746172.jpg,177409,Comédie dramatique
78,Etat d'élue,2010-03-10,http://fr.web.img6.acsta.net/medias/nmedia/18/74/29/78/19252050.jpg,178177,Documentaire
81,Homme au bain,2010-09-22,http://fr.web.img6.acsta.net/medias/nmedia/18/78/89/08/19483266.jpg,183297,Drame
82,Les Contes de la ferme,2010-11-10,http://fr.web.img6.acsta.net/medias/nmedia/18/79/63/13/19537670.jpg,185089,Animation
84,Camping à la ferme,2005-06-29,http://fr.web.img3.acsta.net/medias/nmedia/18/35/57/68/18427671.jpg,57857,Comédie
85,On dirait que...,2007-12-05,http://fr.web.img3.acsta.net/medias/nmedia/18/65/03/38/18856920.jpg,125185,Documentaire
86,La Graine et le mulet,2007-12-12,http://fr.web.img2.acsta.net/medias/nmedia/18/64/50/66/18864546.jpg,61185,Drame
87,Terraferma,2012-03-14,http://fr.web.img2.acsta.net/medias/nmedia/18/87/58/20/19935390.jpg,192769,Drame
89,Les Intrus,2009-06-10,http://fr.web.img3.acsta.net/medias/nmedia/18/65/68/88/19117673.jpg,129793,Drame
90,The Duchess,2008-11-12,http://fr.web.img3.acsta.net/medias/nmedia/18/65/70/87/19001284.jpg,130305,Drame
93,La Dame de Shanghai,1947-12-24,http://fr.web.img1.acsta.net/medias/nmedia/18/35/36/06/19630653.jpg,514,Drame
97,La Chasse - Cruising,1980-09-24,http://fr.web.img6.acsta.net/medias/nmedia/18/64/13/32/18890538.jpg,1538,Thriller-Policier
99,Sinister,2012-11-07,http://fr.web.img5.acsta.net/medias/nmedia/18/91/03/05/20267340.jpg,200962,Thriller-Policier
101,9mm,2008-12-31,http://fr.web.img5.acsta.net/medias/nmedia/18/68/04/03/19008609.jpg,136706,Drame
104,Le Jour attendra,2013-07-24,http://fr.web.img5.acsta.net/pictures/14/04/23/11/57/277728.jpg,204546,Thriller-Policier
