allocine_id,title,release_date,pays,poster,genres
173827,Angèle et Tony,2011-01-26,,http://fr.web.img3.acsta.net/medias/nmedia/18/78/96/43/19623873.jpg,['Drame' 'Romance']
184835,On verra demain,2010-10-06,,http://fr.web.img3.acsta.net/medias/nmedia/18/79/83/18/19529815.jpg,['Drame']
187395,Turf,2013-02-13,,http://fr.web.img6.acsta.net/medias/nmedia/18/93/38/48/20442455.jpg,['Comédie']
189699,La Guerre est déclarée,2011-08-31,,http://fr.web.img1.acsta.net/medias/nmedia/18/83/92/89/19766000.jpg,['Drame']
189955,Viva Riva !,2012-04-18,,http://fr.web.img3.acsta.net/medias/nmedia/18/89/64/10/20062095.jpg,['Drame']
193027,Busong,2012-03-21,,http://fr.web.img4.acsta.net/medias/nmedia/18/83/99/69/19997790.jpg,['Drame']
193283,Parker,2013-04-17,,http://fr.web.img4.acsta.net/medias/nmedia/18/93/71/84/20423109.jpg,['Action']
197124,Song for Marion,2013-05-15,,http://fr.web.img6.acsta.net/medias/nmedia/18/94/47/46/20521722.jpg,['Comédie-dramatique']
142084,Infiltration,2011-05-25,,http://fr.web.img6.acsta.net/medias/nmedia/18/83/57/18/19707146.jpg,['Drame']
214532,Rock the Casbah,2013-09-11,,http://fr.web.img6.acsta.net/pictures/210/207/21020779_20130718120418237.jpg,['Comédie-dramatique']
173828,Nostalgie de la lumière,2010-10-27,,http://fr.web.img5.acsta.net/medias/nmedia/18/78/13/39/19518452.jpg,['Documentaire' 'Drame']
109572,Monstres Academy,2013-07-10,,http://fr.web.img3.acsta.net/medias/nmedia/18/91/41/04/20484519.jpg,['Animation' 'Comédie']
116484,Chloe,2010-03-10,,http://fr.web.img6.acsta.net/medias/nmedia/18/73/85/43/19219894.jpg,['Drame']
182276,Le Marquis,2011-03-09,,http://fr.web.img4.acsta.net/medias/nmedia/18/79/51/31/19660038.jpg,['Aventure' 'Comédie' 'Policier']
183556,La Dame en noir,2012-03-14,,http://fr.web.img4.acsta.net/medias/nmedia/18/87/39/46/20017909.jpg,['Drame' 'Epouvante-horreur' 'Thriller']
186372,[REC] 4,2014-11-12,,http://fr.web.img2.acsta.net/pictures/14/10/01/15/55/399338.jpg,['Epouvante-horreur']
187396,Blanche-Neige et le chasseur,2012-06-13,,http://fr.web.img1.acsta.net/medias/nmedia/18/85/34/52/20089538.jpg,['Action' 'Aventure' 'Fantastique']
189188,Les Adieux à la reine,2012-03-21,,http://fr.web.img4.acsta.net/medias/nmedia/18/89/16/45/20027717.jpg,['Historique']
192260,Kurdish Lover,2012-09-12,,http://fr.web.img5.acsta.net/medias/nmedia/18/92/23/21/20214044.jpg,['Documentaire']
193028,Nouveau Souffle,2012-03-14,,http://fr.web.img3.acsta.net/medias/nmedia/18/88/66/81/19998834.jpg,['Drame']
193284,18 jours,2011-09-07,,http://fr.web.img5.acsta.net/medias/nmedia/18/85/19/14/19801739.jpg,['Drame' 'Historique']
201221,Ginger & Rosa,2013-05-29,,http://fr.web.img6.acsta.net/pictures/210/046/21004633_2013051011345659.jpg,['Drame']
203269,Papa vient dimanche,2013-10-02,,http://fr.web.img2.acsta.net/pictures/210/469/21046938_20131004172755746.jpg,['Drame']
207621,Wadjda,2013-02-06,,http://fr.web.img4.acsta.net/medias/nmedia/18/93/76/88/20401764.jpg,['Drame']
147461,Chaque jour est une fête,2010-01-27,,http://fr.web.img3.acsta.net/medias/nmedia/18/71/06/00/19216313.jpg,['Drame']
86789,Zookeeper,2011-08-17,,http://fr.web.img2.acsta.net/medias/nmedia/18/81/98/03/19765666.jpg,['Comédie']
218629,Bob et les Sex-Pistaches,2013-04-24,,http://fr.web.img3.acsta.net/medias/nmedia/18/97/02/88/20503659.jpg,['Comédie']
225285,Bien profond dans ton âme,2013-12-11,,http://fr.web.img3.acsta.net/pictures/210/580/21058098_20131115100532469.jpg,['Fantastique']
231429,Manos Sucias,2015-06-03,,http://fr.web.img6.acsta.net/pictures/15/02/06/18/30/488262.jpg,['Drame' 'Thriller']
233989,Les Optimistes,2015-04-29,,http://fr.web.img6.acsta.net/pictures/15/03/23/10/08/092880.jpg,['Documentaire']
173829,Ce que je veux de plus,2010-08-11,,http://fr.web.img2.acsta.net/medias/nmedia/18/78/60/90/19479564.jpg,['Drame']
184581,Un tigre parmi les singes,2011-09-14,,http://fr.web.img4.acsta.net/medias/nmedia/18/84/54/08/19745808.jpg,['Drame']
184837,Capelito,2010-10-27,,http://fr.web.img4.acsta.net/medias/nmedia/18/82/95/02/19648896.jpg,['Animation']
186373,L'Homme aux poings de fer,2013-01-02,,http://fr.web.img6.acsta.net/medias/nmedia/18/94/55/46/20337739.jpg,['Action' 'Aventure']
186885,R,2014-01-15,,http://fr.web.img6.acsta.net/pictures/13/12/12/14/38/584979.jpg,['Drame']
193029,La Fin du Silence,2011-12-07,,http://fr.web.img4.acsta.net/medias/nmedia/18/84/17/47/19846183.jpg,['Drame' 'Thriller']
193541,Ceci n’est pas un film,2011-09-28,,http://fr.web.img3.acsta.net/medias/nmedia/18/84/36/39/19814581.jpg,['Documentaire']
137222,Dans ton sommeil,2010-03-24,,http://fr.web.img5.acsta.net/medias/nmedia/18/74/07/86/19266943.jpg,['Thriller']
142086,Derniers jours à Jérusalem,2012-05-23,,http://fr.web.img1.acsta.net/medias/nmedia/18/89/84/03/20069328.jpg,['Drame']
216582,Le Sens de l'humour,2014-02-26,,http://fr.web.img2.acsta.net/pictures/14/01/09/15/44/171428.jpg,['Drame' 'Romance']
216838,Mère et fils,2014-01-15,,http://fr.web.img4.acsta.net/pictures/210/595/21059557_20131120154553986.jpg,['Drame']
218630,Du goudron et des plumes,2014-07-09,,http://fr.web.img6.acsta.net/pictures/14/05/20/17/54/201279.jpg,['Comédie-dramatique' 'Romance']
220934,Blue Ruin,2014-07-09,,http://fr.web.img3.acsta.net/pictures/14/04/22/17/12/311213.jpg,['Drame' 'Thriller']
222982,Ana Arabia,2014-08-06,,http://fr.web.img4.acsta.net/pictures/14/05/23/16/12/265628.jpg,['Drame']
225286,Une histoire banale,2014-04-09,,http://fr.web.img3.acsta.net/pictures/14/03/06/14/39/259411.jpg,['Drame']
227334,Red Army,2015-02-25,,http://fr.web.img1.acsta.net/pictures/14/11/18/12/20/534408.jpg,['Documentaire' 'Historique']
173830,Le voyage du directeur des ressources humaines,2010-12-15,,http://fr.web.img4.acsta.net/medias/nmedia/18/82/02/46/19591279.jpg,['Drame']
182022,Cendrillon,2015-03-25,,http://fr.web.img6.acsta.net/pictures/14/11/19/15/31/350162.jpg,['Fantastique' 'Romance']
122118,Come l'Ombra (Comme une ombre),2010-12-08,,http://fr.web.img2.acsta.net/medias/nmedia/18/82/08/91/19598432.jpg,['Comédie-dramatique']
188422,N'aie pas peur,2012-10-31,,http://fr.web.img5.acsta.net/medias/nmedia/18/90/28/53/20314476.jpg,['Drame']
189702,Chappie,2015-03-04,,http://fr.web.img1.acsta.net/pictures/15/02/09/15/56/012011.jpg,['Action' 'Science-fiction']
193030,Sur la planche,2012-02-01,,http://fr.web.img6.acsta.net/medias/nmedia/18/84/17/49/20017639.jpg,['Drame']
193542,Au revoir,2011-09-07,,http://fr.web.img2.acsta.net/medias/nmedia/18/84/43/24/19789211.jpg,['Drame']
194822,Le Marin masqué,2012-02-08,,http://fr.web.img1.acsta.net/medias/nmedia/18/88/68/59/19999656.jpg,['Drame' 'Romance']
195334,Le Grand soir,2012-06-06,,http://fr.web.img5.acsta.net/medias/nmedia/18/90/17/40/20086704.jpg,['Comédie']
142087,La Femme qui aimait les hommes,2012-07-11,,http://fr.web.img5.acsta.net/medias/nmedia/18/91/27/50/20144874.jpg,['Drame']
207623,Dark Places,2015-04-08,,http://fr.web.img6.acsta.net/pictures/15/03/03/10/32/337568.jpg,['Drame' 'Thriller']
145927,Ajami,2010-04-07,,http://fr.web.img1.acsta.net/medias/nmedia/18/70/50/81/19244090.jpg,['Drame']
214535,Thuppakki - Le Pistolet,2012-11-14,,http://fr.web.img5.acsta.net/medias/nmedia/18/94/09/95/20303013.jpg,['Action' 'Thriller']
218887,La Part du Feu,2013-11-13,,http://fr.web.img4.acsta.net/pictures/210/463/21046382_20131003112803726.jpg,['Documentaire']
222215,Koko le Clown,2013-10-02,,http://fr.web.img4.acsta.net/pictures/210/284/21028427_2013081417274599.jpg,['Animation']
223751,HEIMAT II – L’exode,2013-10-23,,http://fr.web.img2.acsta.net/pictures/210/366/21036616_20130906144817984.jpg,['Drame' 'Historique']
226823,Still Alice,2015-03-18,,http://fr.web.img3.acsta.net/pictures/15/02/25/16/06/588763.jpg,['Drame']
235527,Le Château de sable,2015-04-15,,http://fr.web.img1.acsta.net/pictures/15/02/13/17/09/179584.jpg,['Animation']
235783,Particulier à Particulier,2015-05-13,,http://fr.web.img2.acsta.net/pictures/15/04/22/12/20/567687.jpg,['Comédie']
173319,El Puesto,2012-08-29,,http://fr.web.img3.acsta.net/medias/nmedia/18/90/69/31/20143299.jpg,['Documentaire' 'Western']
180999,Les 4 Fantastiques,2015-08-05,,http://fr.web.img5.acsta.net/pictures/15/07/10/12/04/290362.jpg,['Action' 'Fantastique']
186887,Bad Grandpa,2013-12-11,,http://fr.web.img4.acsta.net/pictures/210/587/21058765_20131118170452331.jpg,['Comédie']
193031,The Island,2012-07-11,,http://fr.web.img6.acsta.net/medias/nmedia/18/83/99/82/19759759.jpg,['Drame' 'Romance']
203784,Je suis,2012-04-11,,http://fr.web.img4.acsta.net/medias/nmedia/18/89/69/77/20063374.jpg,['Documentaire']
141576,Welcome to the Rileys,2010-11-10,,http://fr.web.img2.acsta.net/medias/nmedia/18/73/90/30/19534496.jpg,['Drame']
143368,Sortilège,2011-07-06,,http://fr.web.img6.acsta.net/medias/nmedia/18/72/15/05/19733756.jpg,['Drame' 'Fantastique' 'Romance']
209672,La Vraie vie des profs,2013-02-20,,http://fr.web.img6.acsta.net/medias/nmedia/18/95/21/29/20388774.jpg,['Comédie']
15112,L'Oncle de Brooklyn,2013-07-03,,http://fr.web.img6.acsta.net/pictures/210/028/21002835_20130502162439435.jpg,['Comédie']
220424,Gabrielle,2013-10-16,,http://fr.web.img1.acsta.net/pictures/210/212/21021277_2013092617375681.jpg,['Drame' 'Romance']
